,company_name,date_,total_comp_income_,dividends_,revenue_,stockholders_equity_,market_value_,delta_comprehensive_income_,delta_dividends_,delta_revenue_,delta_stockholders_equity_,delta_market_value_,delta_market_value_forward_,doc2vec_dim_1,doc2vec_dim_2,doc2vec_dim_3,doc2vec_dim_4,doc2vec_dim_5,doc2vec_dim_6,doc2vec_dim_7,doc2vec_dim_8,doc2vec_dim_9,doc2vec_dim_10,doc2vec_dim_11,doc2vec_dim_12,doc2vec_dim_13,doc2vec_dim_14,doc2vec_dim_15,doc2vec_dim_16,doc2vec_dim_17,doc2vec_dim_18,doc2vec_dim_19,doc2vec_dim_20,doc2vec_dim_21,doc2vec_dim_22,doc2vec_dim_23,doc2vec_dim_24,doc2vec_dim_25,doc2vec_dim_26,doc2vec_dim_27,doc2vec_dim_28,doc2vec_dim_29,doc2vec_dim_30,doc2vec_dim_31,doc2vec_dim_32,doc2vec_dim_33,doc2vec_dim_34,doc2vec_dim_35,doc2vec_dim_36,doc2vec_dim_37,doc2vec_dim_38,doc2vec_dim_39,doc2vec_dim_40,doc2vec_dim_41,doc2vec_dim_42,doc2vec_dim_43,doc2vec_dim_44,doc2vec_dim_45,doc2vec_dim_46,doc2vec_dim_47,doc2vec_dim_48,doc2vec_dim_49,doc2vec_dim_50,doc2vec_dim_51,doc2vec_dim_52,doc2vec_dim_53,doc2vec_dim_54,doc2vec_dim_55,doc2vec_dim_56,doc2vec_dim_57,doc2vec_dim_58,doc2vec_dim_59,doc2vec_dim_60,doc2vec_dim_61,doc2vec_dim_62,doc2vec_dim_63,doc2vec_dim_64,doc2vec_dim_65,doc2vec_dim_66,doc2vec_dim_67,doc2vec_dim_68,doc2vec_dim_69,doc2vec_dim_70,doc2vec_dim_71,doc2vec_dim_72,doc2vec_dim_73,doc2vec_dim_74,doc2vec_dim_75,doc2vec_dim_76,doc2vec_dim_77,doc2vec_dim_78,doc2vec_dim_79,doc2vec_dim_80,doc2vec_dim_81,doc2vec_dim_82,doc2vec_dim_83,doc2vec_dim_84,doc2vec_dim_85,doc2vec_dim_86,doc2vec_dim_87,doc2vec_dim_88,doc2vec_dim_89,doc2vec_dim_90,doc2vec_dim_91,doc2vec_dim_92,doc2vec_dim_93,doc2vec_dim_94,doc2vec_dim_95,doc2vec_dim_96,doc2vec_dim_97,doc2vec_dim_98,doc2vec_dim_99,doc2vec_dim_100
1,ACME UNITED CORP,2017-12-31 00:00:00,4.755,1.4469999999999998,130.55,49.938,78.9516,-0.213529606351307,0.08796992481203,0.047971486827107,0.082784041630529,-0.071379423502387,-0.395176285217779,0.03227271884679794,0.028914935886859894,0.022725798189640045,0.003442257409915328,0.06130770966410637,-0.04113452509045601,0.0038104101549834013,-0.032116618007421494,-0.004694049246609211,0.04158622398972511,-0.027849627658724785,-0.08704785257577896,-0.03537439927458763,0.02983836829662323,-0.004084170795977116,-0.0154321463778615,0.026227304711937904,0.005291026085615158,-0.010393963195383549,0.008591447956860065,0.07156258821487427,0.06722766160964966,0.02230105549097061,0.014115693978965282,0.03756054490804672,-0.10123442113399506,0.015097335912287235,-0.007188544142991304,0.015708239749073982,0.004802247043699026,-0.02600930444896221,0.04232173040509224,-0.03354867920279503,0.07435853034257889,-0.016440683975815773,-0.0009598341421224177,-0.007799280807375908,-0.04592398926615715,-0.11762072145938873,0.07765261083841324,0.024624552577733994,-0.040224745869636536,-0.053406573832035065,-0.013742205686867237,-0.004721121862530708,-0.020160701125860214,-0.030016573145985603,-0.02632172405719757,0.058993905782699585,0.0398271381855011,-0.07364192605018616,0.06741713732481003,0.07318463176488876,-0.05899710953235626,0.04360054433345795,-0.03136522322893143,-0.030593380331993103,-0.12004774808883667,0.08438717573881149,-0.04530465230345726,0.0036331401206552982,-0.0188128724694252,0.011520853266119957,0.06535104662179947,0.022154277190566063,-0.05177599936723709,-0.001156552811153233,0.08484458923339844,0.04359724372625351,-0.04286273941397667,0.05757588893175125,-0.05087966471910477,0.0065790750086307526,-0.05316047742962837,0.010625174269080162,-0.07684491574764252,0.03890040144324303,0.012664797715842724,0.12280409038066864,0.03812020272016525,0.034241460263729095,-0.08974018692970276,-0.058851998299360275,0.09317148476839066,0.02803596667945385,0.005563064012676477,-0.008834421634674072,0.018245873972773552,-0.03196745365858078,-0.006701099686324596,-0.027249135076999664,-0.043222397565841675,-0.09551521390676498,0.002319824183359742,-0.010248321108520031,-0.01271258108317852,0.028972279280424118,-0.04472246766090393,0.01768958941102028,0.06007121503353119
2,ACME UNITED CORP,2016-12-31 00:00:00,6.046,1.33,124.574,46.12,85.0203,0.546291560102302,0.075181891673403,0.134429752668197,0.067988143756947,0.459445680385614,-0.071379423502387,0.02263655513525009,0.015283043496310711,-0.01723116636276245,0.022821594029664993,0.05383186787366867,0.0023384871892631054,0.018834495916962624,-0.03242990002036095,0.016419414430856705,0.026996973901987076,-0.023009339347481728,-0.08774584531784058,-0.056453339755535126,0.028546668589115143,-0.026729555800557137,-0.011617458425462246,-0.008004090748727322,0.00046750385081395507,-0.005608907900750637,0.03517521172761917,0.021498199552297592,0.029183538630604744,0.054285600781440735,0.034240178763866425,0.04609822481870651,-0.12060429900884628,-0.025971319526433945,-0.019471582025289536,-0.006771048065274954,-0.00950730312615633,0.02513028122484684,0.053429313004016876,-0.03699216619133949,0.05250008776783943,-0.034778788685798645,0.020438117906451225,-0.004052985925227404,-0.08095774799585342,-0.09316276758909225,0.05447649955749512,-0.003975783474743366,-0.05324418842792511,-0.06283985823392868,-0.02454589307308197,-0.013784367591142654,0.019031094387173653,-0.024487722665071487,-0.01705021783709526,0.08661189675331116,0.013866393826901913,-0.040086206048727036,0.07081586867570877,0.05049726366996765,-0.09993313252925873,0.03190357983112335,-0.03127718344330788,-0.01633915863931179,-0.11207469552755356,0.0498325452208519,-0.03345036134123802,0.007342793978750706,-0.05985288694500923,0.021634124219417572,0.06990019232034683,0.0033129642251878977,-0.0690634548664093,0.010908883064985275,0.08487819135189056,0.04412154108285904,-0.03961562737822533,0.029610944911837578,-0.0318148210644722,0.032062921673059464,-0.05993632599711418,-0.0021496941335499287,-0.055709708482027054,-0.012733686715364456,-0.04013166204094887,0.0745854303240776,0.047231417149305344,0.0355687215924263,-0.07315071672201157,-0.051422715187072754,0.03174799680709839,0.026555035263299942,0.0012162455823272467,0.002067860681563616,0.03468317165970802,-0.03217990696430206,-0.022032178938388824,0.008292780257761478,-0.06256626546382904,-0.01759261265397072,-0.00834527239203453,0.02766735665500164,-0.03181036561727524,0.034925155341625214,0.013190038502216339,0.02707291580736637,0.04510802403092384
3,ACME UNITED CORP,2015-12-31 00:00:00,3.91,1.237,109.812,43.184,58.2552,0.021955044432828,0.120471014492754,0.024155490477701,0.095262250177539,-0.114489010763508,0.459445680385614,0.019653748720884323,0.013367105275392532,-0.04085797071456909,-0.007745782844722271,0.04952292516827583,0.007311822846531868,0.024420302361249924,-0.017630785703659058,-0.007357981987297535,0.020069370046257973,-0.04931152984499931,-0.061265986412763596,-0.009841319173574448,0.05882038548588753,-0.0004186837177257985,0.01042049191892147,0.02125491574406624,-0.010631592012941837,-0.02215202897787094,0.03291568532586098,0.043186891824007034,-0.0013678246177732944,0.05258198454976082,-0.014112154953181744,-0.0014310599071905017,-0.07927905768156052,-0.022286605089902878,-0.002075373660773039,-0.004035969264805317,-0.025892728939652443,-0.013649005442857742,0.015661977231502533,-0.01745663769543171,0.01957639306783676,-0.025266509503126144,0.06112467497587204,-0.001177285797894001,-0.02803160808980465,-0.07491295039653778,0.07552335411310196,-0.01210555899888277,-0.033069781959056854,-0.04341266304254532,-0.009681587107479572,-0.03340502828359604,-0.015439985319972038,-0.01900416798889637,-0.010170486755669117,0.04796779900789261,0.018853046000003815,-0.020810967311263084,0.04948320612311363,-0.003858966752886772,-0.03391144424676895,0.07210753113031387,-0.005474766716361046,-0.04944337159395218,-0.07829013466835022,0.04717687889933586,-0.0071488372050225735,-0.008199476636946201,-0.027757737785577774,0.02434966154396534,0.05338417366147041,0.02388303354382515,-0.06032736971974373,-0.015327016822993755,0.06332848221063614,0.04027455300092697,-0.012381001375615597,0.039689645171165466,-0.026163384318351746,0.03830981254577637,-0.021994171664118767,0.014485993422567844,-0.03007068671286106,-0.0021620795596390963,0.0021766116842627525,0.045080188661813736,-0.0065343487076461315,0.009590108878910542,-0.03701484575867653,-0.037423424422740936,0.04542430117726326,0.04901588708162308,0.023834601044654846,-0.011069968342781067,0.018090208992362022,-0.026783177629113197,0.027889739722013474,0.005109068471938372,-0.04121309891343117,-0.021255185827612877,-0.012410647235810757,-0.009282585233449936,0.02648266777396202,0.014232979156076908,-0.029360055923461914,0.04443303868174553,0.005231465678662062
4,ACME UNITED CORP,2014-12-31 00:00:00,3.826,1.104,107.222,39.428,65.7871,-0.067965895249696,0.119675456389452,0.196981367985085,0.126353378088844,0.379331962117543,-0.114489010763508,0.0226481631398201,0.026215840131044388,-0.006160110235214233,-0.011901222169399261,0.03410293906927109,-0.000657032011076808,0.012864432297647,-0.03922240063548088,-0.006710436660796404,0.02275189198553562,-0.034385986626148224,-0.06236635893583298,-0.04685071110725403,0.0333830900490284,-0.012810204178094864,0.0038924752734601498,0.008391179144382477,0.013399425894021988,-0.010562581941485405,0.001140896580182016,0.03471760451793671,0.016156550496816635,0.023824341595172882,0.0319356732070446,-0.01711227186024189,-0.07404281198978424,-0.02835293672978878,0.00350839551538229,0.014881368726491928,-0.03040601685643196,-7.50451727071777e-05,0.034199826419353485,-0.003604754339903593,0.0396357960999012,-0.0041015720926225185,-0.007468091789633036,-0.00856753345578909,-0.030280061066150665,-0.07575397193431854,0.05802468955516815,-0.008517613634467125,-0.032566994428634644,-0.06437993794679642,-0.01132966112345457,-0.009363895282149315,-0.02292952686548233,-0.010800078511238098,-0.0006717339274473488,0.055160969495773315,0.02170240692794323,-0.030745316296815872,0.05625108256936073,0.037792131304740906,-0.05392954498529434,0.03862534090876579,-0.00873092096298933,-0.024852892383933067,-0.0809277668595314,0.04477577656507492,-0.04935547709465027,-0.014190685003995895,-0.02692374214529991,0.03848964720964432,0.05281735956668854,0.012736755423247814,-0.042001452296972275,-0.007468136493116617,0.07572603970766068,0.03566470742225647,-0.031218627467751503,0.008886473253369331,-0.03717229515314102,0.03282516449689865,-0.04333179444074631,0.016213880851864815,-0.07478810101747513,0.006456166040152311,0.006444372236728668,0.07832857966423035,0.014788607135415077,0.010961131192743778,-0.052243273705244064,-0.046849559992551804,0.023336166515946388,0.046035826206207275,0.00042085046879947186,-0.009350838139653206,0.024588624015450478,-0.019810723140835762,0.004013186786323786,-0.00349778332747519,-0.04216790944337845,-0.046496592462062836,-0.013364248909056187,0.004802573472261429,-0.0024775646161288023,-0.001277613453567028,-0.02311362698674202,0.03016834147274494,0.04673978313803673
5,ACME UNITED CORP,2013-12-31 00:00:00,4.105,0.986,89.57700000000001,35.005,47.6949,0.07997895290713,0.133333333333333,0.061716249851843,0.134095768807102,0.382460869565217,0.379331962117543,0.013653941452503204,0.015265843831002712,-0.02935134805738926,-0.01629285328090191,0.05386132374405861,-0.012135553173720837,0.026436515152454376,-0.04173191636800766,0.0014562512515112758,0.02679859660565853,-0.028542103245854378,-0.0715467631816864,-0.04863192141056061,0.06560318917036057,-0.015811016783118248,-0.005130448844283819,0.015028487890958786,0.005065459758043289,-0.04072153568267822,0.013130353763699532,0.0361829549074173,-0.017685633152723312,0.05192236974835396,0.011691073887050152,-0.005819793324917555,-0.08851305395364761,-0.01342983078211546,0.014488163404166698,0.033297762274742126,0.001789458328858018,-0.0029565216973423958,0.021812012419104576,-0.022870410233736038,0.007794564124196768,-0.02578851208090782,0.049578189849853516,0.002081176033243537,-0.028258543461561203,-0.10736823827028275,0.06718013435602188,-0.005902905482798815,-0.02591242454946041,-0.06083885580301285,-0.0008890525787137449,-0.015202933922410011,0.0037673001643270254,-0.031412869691848755,-0.010904751718044281,0.05580015480518341,0.04705004394054413,-0.0641733780503273,0.06141629442572594,0.004510357975959778,-0.0505734384059906,0.054889071732759476,0.0008170998771674931,-0.03179415315389633,-0.10805695503950119,0.040411826223134995,-0.046161897480487823,-0.013852548785507679,-0.02124304324388504,0.022117765620350838,0.0228665079921484,-0.008909327909350395,-0.040936533361673355,-0.011866656132042408,0.06463868916034698,0.06904730200767517,-0.04192327335476875,0.04008086398243904,-0.026742979884147644,0.006428935565054417,-0.05951717123389244,0.014146203175187111,-0.06324483454227448,0.021270154044032097,-0.009872189722955227,0.03020879067480564,0.013203710317611694,-0.008509316481649876,-0.03675056993961334,-0.05229512229561806,0.05784127116203308,0.04440838843584061,0.00017152605869341642,0.008561622351408005,0.030673328787088394,-0.043064240366220474,-0.011178405955433846,-0.0037505284417420626,-0.027765579521656036,-0.02659226395189762,-0.054824940860271454,0.0005371717270463705,0.003408151213079691,0.0038008398842066526,-0.0477779395878315,0.0379568412899971,0.05186666175723076
6,ACME UNITED CORP,2012-12-31 00:00:00,3.801,0.87,84.37,30.866,34.5,0.435422960725076,0.078066914498141,0.150991787400071,0.111287128712871,0.158398388315286,0.382460869565217,0.03788752853870392,0.0183878131210804,-0.016935447230935097,0.029202625155448914,0.04905633255839348,-0.008274542167782784,0.012991661205887794,-0.006243486888706684,0.016532771289348602,0.034115035086870193,-0.01313687115907669,-0.09764134138822556,-0.0286491047590971,0.0598335899412632,0.00020912688341923058,-0.031292740255594254,-0.007937933318316936,0.037937793880701065,-0.012134350836277008,0.03166520223021507,0.020095711573958397,0.017975637689232826,0.08385936915874481,0.013990398496389389,-0.010628786869347095,-0.09510697424411774,0.010671078227460384,0.017444398254156113,-0.02096475102007389,0.0006103982450440526,0.003063925076276064,-0.024621648713946342,-0.05822669714689255,0.02895638905465603,-0.032941389828920364,0.0684082880616188,-0.04308868944644928,-0.02209104411303997,-0.09062637388706207,0.07989294826984406,-0.023769142106175423,-0.0598677434027195,-0.029372714459896088,-0.01068491768091917,-0.009712138213217258,-0.026262633502483368,-0.03662048280239105,0.021783312782645226,0.052718039602041245,-0.022266153246164322,-0.0687723159790039,0.055733561515808105,0.016102297231554985,-0.0724504142999649,0.0576365664601326,0.015728630125522614,-0.049393221735954285,-0.12295868992805481,0.019641051068902016,-0.036546070128679276,-0.04671916365623474,-0.013270252384245396,0.03165821731090546,0.05004092678427696,0.014305319637060165,-0.05615204572677612,0.02191946841776371,0.06503027677536011,0.06488510221242905,-0.03209678456187248,0.05772990360856056,-0.025747427716851234,0.045035671442747116,-0.06911855190992355,0.036850977689027786,-0.04732111096382141,0.008776134811341763,0.025713061913847923,0.077345110476017,0.027321286499500275,0.01629026047885418,-0.06042086333036423,-0.07022947818040848,0.05101162567734718,0.059073712676763535,0.03570093959569931,0.024354396387934685,0.0629093199968338,-0.02509375847876072,-0.005515504162758589,-0.0054328651167452335,-0.015723474323749542,-0.02136923372745514,-0.05397077277302742,-0.011143024079501629,-0.004144900944083929,-0.0290455911308527,-0.029044199734926224,0.025793511420488358,0.04907183721661568
7,ACME UNITED CORP,2011-12-31 00:00:00,2.648,0.807,73.30199999999998,27.775,29.7825,0.054559936280366,0.183284457478006,0.160778476302079,0.095574313663616,0.019358658858401,0.158398388315286,0.050970420241355896,0.005693964194506407,-0.0411607101559639,-0.01407142449170351,0.03607639670372009,-0.016842972487211227,0.028979094699025154,-0.06118152290582657,0.0006151036941446364,0.025948278605937958,-0.02100745402276516,-0.053766533732414246,-0.03915320336818695,0.05345494672656059,0.015004392713308334,-0.010985189117491245,0.012604149989783764,0.038782235234975815,-0.01792825758457184,0.0375177338719368,0.03866158053278923,-0.003941392060369253,0.048747383058071136,0.0004426281084306538,-0.0056629786267876625,-0.09307173639535904,-0.021380264312028885,0.0011911927722394466,0.046472206711769104,-0.022086184471845627,-0.0006067597423680127,0.021433403715491295,-0.01026451587677002,0.01190100610256195,-0.0319560170173645,-0.006037867162376642,-0.0027021130081266165,-0.025387607514858246,-0.10697105526924133,0.09000664204359055,0.024331960827112198,-0.02040296606719494,-0.0556059330701828,-0.036103688180446625,-0.0077988142147660255,-0.024548372253775597,-0.033540595322847366,0.0025255263317376375,0.07080519199371338,0.009220586158335209,-0.04761715233325958,0.07333351671695709,-0.00015034103125799447,-0.05286962538957596,0.04163919761776924,0.013665100559592247,-0.09252482652664185,-0.10071233659982681,0.07448544353246689,-0.014663375914096832,0.0004844030481763184,-0.029428372159600258,0.05889306217432022,0.05611127242445946,0.010040917433798313,-0.07406174391508102,-0.010505842976272106,0.05998553708195686,0.049986448138952255,-0.00968847144395113,0.04550991579890251,-0.042224276810884476,0.05995914340019226,-0.07192360609769821,0.000434082088759169,-0.09174758940935135,0.005677474662661552,-0.007607060484588146,0.07714807987213135,0.020317435264587402,0.03446498513221741,-0.04701215773820877,-0.045958444476127625,0.028839608654379845,0.021881645545363426,-0.013947712257504463,0.008571507409214973,0.018634619191288948,-0.011972535401582718,-0.011742760427296162,0.027358323335647583,-0.06770835816860199,-0.01743490807712078,-0.005673429928719997,0.011809266172349453,-0.020740920677781105,0.03285403177142143,-0.05183012783527374,0.03705223649740219,0.03979463875293732
8,ACME UNITED CORP,2010-12-31 00:00:00,2.511,0.682,63.149,25.352,29.2169,-3.9028901734104,#DIV/0!,21.954925481643,-0.104327857269034,0.269361776078551,0.019358658858401,0.028520209714770317,0.03463287279009819,-0.02897319570183754,0.02072521299123764,0.0551861934363842,-0.018440082669258118,0.01629980094730854,-0.018219467252492905,0.013429969549179077,0.023674368858337402,-0.016107892617583275,-0.05726192891597748,-0.02746094949543476,0.04596523568034172,-0.002751624444499612,-0.03275030478835106,0.020226480439305305,-0.009681749157607555,-0.03715375438332558,0.03272692486643791,0.014015101827681065,0.012884379364550114,0.03217358887195587,0.004491682164371014,-0.012148880399763584,-0.10814142227172852,-0.010345503687858582,-0.00975553784519434,0.028130030259490013,-0.011603368446230888,-0.013969333842396736,0.029000859707593918,-0.04959471896290779,0.023338263854384422,-0.03266292065382004,0.029313191771507263,-0.0079513443633914,-0.006118697579950094,-0.0907151997089386,0.08957420289516449,-0.00703851506114006,-0.038342542946338654,-0.043618444353342056,-0.015043779276311398,0.017390625551342964,0.00240541179664433,-0.023821409791707993,-0.003504509339109063,0.0668860599398613,0.01413135975599289,-0.04494825378060341,0.05609152466058731,0.011076091788709164,-0.04899841174483299,0.050217773765325546,-0.0031452164985239506,-0.038416434079408646,-0.09690850973129272,0.06347620487213135,-0.02192082069814205,-0.010421622544527054,-0.034272201359272,0.03052551858127117,0.032422151416540146,0.009029987268149853,-0.045889712870121,-0.007769617717713118,0.06190473586320877,0.02633274905383587,-0.045637767761945724,0.05262674391269684,-0.061227455735206604,0.014180193655192852,-0.03975343331694603,0.006836200598627329,-0.047047171741724014,0.003259752644225955,-0.03493697941303253,0.0383056104183197,0.015481967478990555,0.0024080935399979353,-0.045706771314144135,-0.03744937852025032,0.050538476556539536,0.05381874367594719,0.0073705711401999,-0.0020806484390050173,0.03675007075071335,-0.01952945813536644,-0.010793427005410194,-0.008290867321193218,-0.03709422051906586,-0.04890967532992363,-0.0045694150030612946,-0.0023781051859259605,-0.009913758374750614,0.003935269545763731,-0.01346360519528389,0.049453459680080414,0.029706407338380814
11,BK TECHNOLOGIES CORP,2017-12-31 00:00:00,-1.369,2.064,39.395,32.007,48.4646,-1.31449575005743,-0.44336569579288,-0.222809682574128,-0.105299938502823,-0.256607223386273,-0.008193609356107,0.05504348874092102,0.4835747182369232,-0.06656008958816528,-0.599797248840332,1.0120270252227783,-1.009648323059082,-0.6148309707641602,-0.6780129671096802,-0.4141106903553009,0.6080394387245178,-0.44826585054397583,-0.4557984471321106,-0.09766429662704468,-0.08672674745321274,-1.5518850088119507,-1.541566252708435,0.48625701665878296,0.46027567982673645,-1.4848968982696533,-1.1601436138153076,0.25723087787628174,0.5174314379692078,0.7803559303283691,1.1791236400604248,0.05510985851287842,-1.0925796031951904,-0.9709810614585876,0.15655803680419922,0.019351601600646973,-0.010233866050839424,-0.7564554810523987,0.4376271367073059,-0.8813208341598511,-0.24064286053180695,-0.7934042811393738,-0.02626042626798153,-0.09312400966882706,-0.3280504643917084,-1.7213175296783447,0.8290417194366455,0.31160491704940796,-0.781319797039032,0.2596953809261322,-1.1136318445205688,-0.30523714423179626,-0.39883801341056824,-0.1659492403268814,-0.8307164311408997,-0.3433842360973358,0.8778246641159058,-0.8592695593833923,0.2828562557697296,-0.1642906814813614,-0.18446430563926697,1.287922978401184,-0.18361221253871918,-1.200599193572998,-0.07921924442052841,0.13993790745735168,-0.46307942271232605,-0.7154393196105957,-1.2073966264724731,-0.31526854634284973,0.35785016417503357,0.6267397999763489,-1.0958154201507568,0.31347963213920593,0.7898479700088501,0.6921147108078003,0.1670016348361969,0.7114211320877075,0.9405241012573242,0.4676128923892975,-0.587554931640625,0.8255014419555664,0.08432754874229431,-0.192738339304924,0.6268888115882874,0.03204129636287689,0.4422788619995117,0.3830884099006653,-0.7019410729408264,-0.37596699595451355,0.03458252549171448,0.7810620069503784,0.7542639374732971,0.4662655293941498,0.039912138134241104,-0.9026744365692139,0.1621975153684616,-0.35540467500686646,-1.3866066932678223,-0.42413851618766785,0.43722209334373474,0.7116354703903198,-0.01286772359162569,-0.4297015964984894,1.0160391330718994,0.1506836712360382,1.2401936054229736
12,BK TECHNOLOGIES CORP,2016-12-31 00:00:00,4.353,3.708,50.68899999999999,35.774,65.1938,2.02712100139082,#DIV/0!,0.705437049996635,0.027398047099368,0.205058770686191,-0.256607223386273,-0.5134078860282898,-0.22541247308254242,0.24708861112594604,-0.6731539368629456,0.8466153144836426,-0.8129066824913025,-0.3037448227405548,-0.9853726625442505,-0.33259353041648865,0.7109680771827698,-0.22134196758270264,-0.14506447315216064,0.059755463153123856,0.04929789528250694,-1.6690646409988403,-1.2522047758102417,0.6496230959892273,-0.10914228111505508,-1.5718837976455688,-1.3286347389221191,0.1397828310728073,0.6862863898277283,0.20593474805355072,0.7447447180747986,0.3972906470298767,-1.3651738166809082,-0.6487413048744202,0.9423173666000366,-0.29110386967658997,-0.20783565938472748,-1.4485771656036377,0.6226824522018433,-0.7677905559539795,-0.11024726182222366,-0.3378222584724426,0.4572642743587494,-0.07172024250030518,-0.15095354616641998,-1.6561423540115356,1.4250744581222534,0.2501644790172577,-0.32193663716316223,0.5017105937004089,-0.674785852432251,-0.45366695523262024,-0.11779756098985672,0.12738053500652313,-0.6548758745193481,-0.054990872740745544,0.9243130087852478,-0.34257328510284424,0.033488929271698,-0.11564633250236511,0.206830233335495,1.041294813156128,-0.6203906536102295,-1.3222451210021973,-0.14557375013828278,0.4140571057796478,0.05347900092601776,-0.560680627822876,-1.6543357372283936,-0.19466185569763184,0.5312241315841675,0.7264644503593445,-1.2238487005233765,0.8624168634414673,0.33411937952041626,1.096105933189392,0.06867262721061707,0.789135754108429,0.5469731688499451,0.02413640171289444,-0.5922589898109436,0.45164236426353455,-0.6264379024505615,0.05446173995733261,0.2590314745903015,-0.036417607218027115,0.16183017194271088,0.07634486258029938,-0.7081336975097656,-0.41645023226737976,0.0746971070766449,0.5879464149475098,0.48752400279045105,0.7820200324058533,0.012762460857629776,-1.0857510566711426,-0.10316526144742966,-0.548243522644043,-1.1163833141326904,-0.8771689534187317,0.2948484718799591,0.3681778013706207,-0.22626830637454987,-0.0563199557363987,0.9469140768051147,0.1842290461063385,0.9324238300323486
